run_id,target_rate_msg_s,time_s,sent_msg_s,received_msg_s,p50_ms,p95_ms,p99_ms
auto-r1000,1000,1.001,4046,4039,1,22,23
auto-r1000,1000,2.001,4003,4008,0,1,2
auto-r1000,1000,3.001,4000,4001,0,1,2
auto-r1000,1000,4.001,4004,4004,0,1,2
auto-r1000,1000,5.001,4001,4001,0,1,2
auto-r1000,1000,6.001,4005,3998,0,1,3
auto-r1000,1000,7.001,4000,4007,0,1,1
auto-r1000,1000,8.001,4001,3999,0,1,2
auto-r1000,1000,9.001,4005,4003,0,1,3
auto-r1000,1000,10.001,3998,4002,0,1,2
auto-r1000,1000,11.001,4004,4004,0,1,2
auto-r1000,1000,12.001,3997,3997,0,1,2
auto-r1000,1000,13.001,4005,4004,0,1,2
auto-r1000,1000,14.001,4001,4002,0,1,2
auto-r1000,1000,15.001,4003,4001,0,1,2
auto-r2000,2000,1.001,8074,8074,6,38,42
auto-r2000,2000,2.001,8001,8001,0,1,4
auto-r2000,2000,3.001,8006,7993,0,1,3
auto-r2000,2000,4.001,8002,8009,0,1,2
auto-r2000,2000,5.001,8012,8012,0,1,4
auto-r2000,2000,6.001,8004,8008,0,1,2
auto-r2000,2000,7.0,8009,8010,0,1,6
auto-r2000,2000,8.001,8003,8004,0,1,2
auto-r2000,2000,9.0,8010,8010,0,1,2
auto-r2000,2000,10.0,8010,8007,0,1,3
auto-r2000,2000,11.001,8005,8004,0,1,3
auto-r2000,2000,12.0,8008,8012,0,1,2
auto-r2000,2000,13.001,8005,7993,0,1,2
auto-r2000,2000,14.001,8003,8011,0,1,6
auto-r2000,2000,15.001,8008,8005,0,1,1
auto-r4000,4000,1.001,13302,7898,17,130,143
auto-r4000,4000,2.001,18935,24340,66,351,389
auto-r4000,4000,3.001,16007,16001,1,2,3
auto-r4000,4000,4.001,16015,16019,1,3,10
auto-r4000,4000,5.001,16017,16025,1,2,9
auto-r4000,4000,6.002,15994,15995,1,5,10
auto-r4000,4000,7.001,16018,15976,1,6,17
auto-r4000,4000,8.001,16014,16059,1,2,11
auto-r4000,4000,9.001,16011,15995,1,2,5
auto-r4000,4000,10.001,16007,16020,1,3,27
auto-r4000,4000,11.001,16022,16020,1,1,6
auto-r4000,4000,12.001,16004,16002,1,11,25
auto-r4000,4000,13.0,16018,16011,1,18,40
auto-r4000,4000,14.001,16014,16011,1,2,2
