component,component_type,timestamp,clients,jobs,duration_s,tps,latency_ms,tx_processed,tps_per_core,latency_ms_per_core,tps_per_client,tps_per_job,tps_per_gb_memory,latency_per_tx_ms,memory_per_tx_bytes,cpu_utilization_pct,test_cpu_cores,test_memory_gb,run_id,target_rate_msg_s,avg_sent_msg_s,avg_received_msg_s,worst_p95_ms,producers,consumers,size_bytes,msg_per_sec_per_core,msg_per_sec_per_producer,msg_per_sec_per_consumer,msg_per_sec_per_gb_memory,msg_per_sec_per_kb,latency_per_msg_ms,memory_per_msg_bytes,throughput_mbps,loss_ratio
KingbaseES,DB,2025-11-04T15:22:23,350.0,4.0,60,1397.55969,57.101,83975.0,349.39,57.1,3.99,349.39,349.39,57.1,15365.95,69.88,4,4.0,,,,,,,,,,,,,,,,,
KingbaseES,DB,2025-11-04T15:23:27,350.0,4.0,60,1559.261013,50.753,93675.0,389.82,50.75,4.46,389.82,389.82,50.75,13772.44,77.96,4,4.0,,,,,,,,,,,,,,,,,
KingbaseES,DB,2025-11-04T15:24:32,380.0,4.0,60,1649.53087,51.411,99088.0,412.38,51.41,4.34,412.38,412.38,51.41,13018.75,82.48,4,4.0,,,,,,,,,,,,,,,,,
KingbaseES,DB,2025-11-04T15:25:36,380.0,4.0,60,1747.953251,48.388,105011.0,436.99,48.39,4.6,436.99,436.99,48.39,12285.7,87.4,4,4.0,,,,,,,,,,,,,,,,,
KingbaseES,DB,2025-11-04T15:26:40,400.0,4.0,60,1724.895507,51.863,103623.0,431.22,51.86,4.31,431.22,431.22,51.86,12449.93,86.24,4,4.0,,,,,,,,,,,,,,,,,
KingbaseES,DB,2025-11-04T15:27:44,400.0,4.0,60,1691.196103,52.808,101643.0,422.8,52.81,4.23,422.8,422.8,52.81,12698.02,84.56,4,4.0,,,,,,,,,,,,,,,,,
RabbitMQ,MQ,,,,15,,,,,,,,,,,10.01,4,4.0,auto-r1000,1000.0,4004.0,4004.0,22.0,4.0,4.0,1024.0,1001.0,1001.0,1001.0,1001.0,4004.0,22.0,1536.0,3.91,0.0
RabbitMQ,MQ,,,,15,,,,,,,,,,,20.03,4,4.0,auto-r2000,2000.0,8010.0,8010.0,38.0,4.0,4.0,1024.0,2002.5,2002.5,2002.5,2002.5,8010.0,38.0,1536.0,7.82,0.0
RabbitMQ,MQ,,,,15,,,,,,,,,,,40.06,4,4.0,auto-r4000,4000.0,16026.0,16026.0,351.0,4.0,4.0,1024.0,4006.5,4006.5,4006.5,4006.5,16026.0,351.0,1536.0,15.65,0.0
RabbitMQ,MQ,,,,15,,,,,,,,,,,78.93,4,4.0,auto-r8000,8000.0,32045.0,31573.0,682.0,4.0,4.0,1024.0,7893.25,7893.25,7893.25,7893.25,31573.0,682.0,1536.0,30.83,0.0147
RabbitMQ,MQ,,,,15,,,,,,,,,,,83.63,4,4.0,auto-r8500,8500.0,34054.0,33452.0,671.0,4.0,4.0,1024.0,8363.0,8363.0,8363.0,8363.0,33452.0,671.0,1536.0,32.67,0.0177
RabbitMQ,MQ,,,,15,,,,,,,,,,,85.83,4,4.0,auto-r8625,8625.0,34566.0,34332.0,457.0,4.0,4.0,1024.0,8583.0,8583.0,8583.0,8583.0,34332.0,457.0,1536.0,33.53,0.0068
