run_id,target_rate_msg_s,avg_sent_msg_s,avg_received_msg_s,worst_p95_ms,success,note,duration_s,producers,consumers,size_bytes,queue
auto-r1000,1000,4004,4004,110,True,,15,4,4,1024,perf_queue
auto-r2000,2000,8009,8009,25,True,,15,4,4,1024,perf_queue
auto-r4000,4000,16019,16019,134,True,,15,4,4,1024,perf_queue
auto-r8000,8000,29677,29291,1451,True,,16,4,4,1024,perf_queue
auto-r16000,16000,35576,33159,1421,False,ratio_below_0.95,16,4,4,1024,perf_queue
auto-r12000,12000,36761,34115,1408,False,ratio_below_0.95,16,4,4,1024,perf_queue
auto-r10000,10000,34762,32189,1383,False,ratio_below_0.95,16,4,4,1024,perf_queue
auto-r9000,9000,30971,30660,1472,True,,16,4,4,1024,perf_queue
auto-r9500,9500,35601,32931,1308,False,ratio_below_0.95,16,4,4,1024,perf_queue
auto-r9250,9250,33212,32856,1375,True,,16,4,4,1024,perf_queue
auto-r9375,9375,35664,33080,1286,False,ratio_below_0.95,16,4,4,1024,perf_queue
