run_id,target_rate_msg_s,time_s,sent_msg_s,received_msg_s,p50_ms,p95_ms,p99_ms
auto-r1000,1000,1.001,4028,2860,10,103,106
auto-r1000,1000,2.001,4003,5172,1,110,123
auto-r1000,1000,3.001,4004,4003,0,1,2
auto-r1000,1000,4.001,3999,3997,0,1,2
auto-r1000,1000,5.001,4007,4010,0,1,4
auto-r1000,1000,6.0,4002,4000,0,1,4
auto-r1000,1000,7.001,4000,4002,0,1,3
auto-r1000,1000,8.001,4004,4003,0,1,1
auto-r1000,1000,9.0,4006,4004,0,1,2
auto-r1000,1000,10.0,3998,3999,0,1,1
auto-r1000,1000,11.001,4002,4003,0,1,2
auto-r1000,1000,12.0,4001,4002,0,1,1
auto-r1000,1000,13.001,4003,4003,0,1,1
auto-r1000,1000,14.0,4004,4004,0,1,1
auto-r1000,1000,15.001,4000,3998,0,1,1
auto-r2000,2000,1.001,8073,8066,4,25,31
auto-r2000,2000,2.001,8000,8003,0,1,3
auto-r2000,2000,3.001,8003,8000,0,1,1
auto-r2000,2000,4.001,8013,8013,0,1,1
auto-r2000,2000,5.001,8008,8009,0,1,3
auto-r2000,2000,6.001,7998,8001,0,1,7
auto-r2000,2000,7.001,8009,8006,0,1,2
auto-r2000,2000,8.002,7995,7993,0,1,3
auto-r2000,2000,9.001,8017,8018,0,1,6
auto-r2000,2000,10.001,8005,8012,0,1,4
auto-r2000,2000,11.001,8007,8007,1,1,4
auto-r2000,2000,12.001,8007,8002,0,1,2
auto-r2000,2000,13.001,8001,8005,0,1,2
auto-r2000,2000,14.001,8012,8006,0,1,1
auto-r2000,2000,15.001,8000,8004,0,1,2
auto-r4000,4000,1.003,16142,13600,18,89,103
auto-r4000,4000,2.001,16016,18559,1,134,147
auto-r4000,4000,3.001,16014,16005,1,2,7
auto-r4000,4000,4.001,16011,16019,1,2,15
auto-r4000,4000,5.001,16010,16011,1,2,6
auto-r4000,4000,6.001,16011,16006,1,66,70
auto-r4000,4000,7.001,16009,16020,1,13,31
auto-r4000,4000,8.001,16017,16004,1,28,52
